Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Luis Cano,0.17,0.08,41.67,0.67,0.0,0.0,0.58,0.5,0.0,0.21,0.0,0.29,0.17,0.29,18.42,79.86,5.13,50.0,0.0,0.04,0.0,0.0,0.63,0.13,0.13,0.0,35.0,51.82,1.67,0.63,24,1,3,Ecuador Serie A,3
Óscar Zambrano,0.0,0.0,57.14,0.75,0.0,0.0,1.17,0.83,0.04,0.42,0.0,0.63,0.04,0.0,40.83,91.12,9.54,81.76,0.0,0.21,0.0,0.0,0.38,0.04,0.08,0.0,40.0,48.36,0.63,1.0,24,1,3,Ecuador Serie A,3
Gonzalo Valle,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.04,0.79,0.0,0.0,0.0,0.0,32.11,78.64,0.86,47.4,3.5,0.21,0.29,0.04,1.39,0.11,0.04,0.04,60.0,72.73,0.14,0.04,28,2,1,Ecuador Serie A,3
Daykol Romero,0.0,0.0,38.1,0.73,0.0,0.0,1.87,0.8,0.0,1.87,0.0,0.8,0.07,0.07,41.47,86.17,9.8,64.29,0.0,0.33,0.0,0.0,0.33,0.13,0.2,0.07,52.17,51.35,0.6,0.8,15,1,2,Ecuador Serie A,3
Ezequiel Piovi,0.0,0.0,43.75,0.78,0.0,0.0,1.52,0.78,0.04,0.33,0.0,0.67,0.07,0.07,42.56,86.42,10.7,62.66,0.0,0.3,0.0,0.0,0.44,0.15,0.19,0.0,52.17,49.02,0.56,1.26,27,3,3,Ecuador Serie A,3
Lorenzo Faravelli,0.08,0.04,25.0,1.17,0.0,0.0,1.38,0.25,0.04,0.04,0.0,0.54,0.21,0.25,43.0,90.02,11.17,71.74,0.0,0.13,0.0,0.0,0.83,0.08,0.33,0.0,0.0,45.9,0.88,1.04,24,2,3,Ecuador Serie A,3
Willian Cevallos,0.18,0.06,28.57,1.76,0.0,0.49,0.29,0.29,0.0,0.18,0.0,0.35,0.18,0.06,19.18,78.53,6.24,63.51,0.0,0.06,0.0,0.0,0.41,0.0,0.29,0.0,20.0,30.95,0.29,0.76,17,3,3,Ecuador Serie A,3
Carlos Rolón,0.0,0.0,100.0,0.83,0.0,0.0,1.0,0.75,0.0,3.92,0.0,0.25,0.0,0.0,25.92,77.49,1.67,50.82,0.0,0.42,0.0,0.0,0.67,0.08,0.17,0.0,77.14,69.23,0.42,0.5,12,3,2,Ecuador Serie A,3
Leonel Nazareno,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.04,0.0,0.69,0.0,0.04,0.0,0.04,25.85,55.21,1.35,38.04,3.0,0.23,0.12,0.04,1.08,0.15,0.23,0.0,88.89,90.0,0.35,0.04,26,2,1,Ecuador Serie A,3
Mauricio Martínez,0.1,0.0,68.18,1.24,0.0,0.0,1.0,0.43,0.0,0.43,0.0,0.43,0.1,0.05,32.24,83.31,8.33,62.5,0.0,0.1,0.0,0.0,0.33,0.14,0.24,0.0,70.59,58.93,0.86,0.57,21,2,3,Ecuador Serie A,3
Michael Carcelén,0.07,0.0,45.83,1.13,0.0,0.0,1.27,0.73,0.0,0.53,0.0,0.47,0.2,0.07,22.47,81.31,5.53,72.22,0.0,0.07,0.0,0.0,0.47,0.0,0.27,0.0,54.55,57.55,1.67,0.53,15,2,3,Ecuador Serie A,3
Anibal Chalá,0.17,0.17,29.41,0.92,0.0,0.0,1.17,1.33,0.0,1.67,0.0,0.67,0.17,0.0,31.17,76.47,5.42,27.27,0.0,0.42,0.0,0.0,0.58,0.0,0.08,0.0,63.16,50.65,0.67,0.83,12,2,2,Ecuador Serie A,3
Erick Plúas,0.0,0.0,59.09,0.38,0.0,0.0,1.83,0.72,0.0,0.52,0.0,0.38,0.03,0.03,29.17,80.26,6.93,60.87,0.0,0.07,0.0,0.0,0.59,0.28,0.1,0.0,42.86,57.23,0.59,0.55,29,1,3,Ecuador Serie A,3
Kavier Ortiz,0.2,0.2,55.56,2.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,12.2,75.41,4.4,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,50.0,50.0,0.6,0.6,5,1,3,Ecuador Serie A,3
Christian Alemán,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,89.66,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.67,55.56,2.0,2.0,1,2,3,Ecuador Serie A,3
Alex Capuz,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.43,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,4,Ecuador Serie A,3
Lisandro Alzugaray,0.17,0.33,52.63,2.03,0.03,0.0,0.73,0.23,0.0,0.17,0.0,0.2,0.07,0.0,20.0,80.67,7.1,71.19,0.0,0.07,0.0,0.0,0.4,0.13,0.07,0.0,35.71,45.99,0.53,0.37,30,3,3,Ecuador Serie A,3
Juan Carlos Paredes,0.03,0.0,57.89,0.62,0.0,0.0,1.24,0.76,0.0,0.48,0.0,0.72,0.07,0.07,33.0,74.92,6.14,50.63,0.0,0.17,0.0,0.0,1.07,0.17,0.34,0.0,50.0,54.98,2.07,1.0,29,3,3,Ecuador Serie A,3
Carlos Rodríguez,0.11,0.0,33.33,0.56,0.07,0.0,1.11,1.04,0.04,3.89,0.0,0.37,0.0,0.04,29.81,77.64,2.15,46.15,0.0,0.3,0.0,0.0,0.81,0.04,0.15,0.04,60.27,57.14,0.15,0.48,27,3,2,Ecuador Serie A,3
Aníbal Leguizamón,0.08,0.08,50.0,0.5,0.04,0.0,1.46,1.15,0.04,3.31,0.0,0.62,0.0,0.0,44.31,81.16,3.0,47.39,0.0,0.5,0.0,0.0,0.81,0.15,0.35,0.0,60.0,54.36,0.12,0.96,26,3,2,Ecuador Serie A,3
Jhonnier Chala,0.11,0.04,33.33,0.59,0.04,0.0,1.67,1.48,0.04,4.0,0.04,0.67,0.0,0.07,19.3,66.79,2.78,44.62,0.0,0.19,0.0,0.0,1.33,0.11,0.52,0.04,66.67,61.84,2.3,1.74,27,1,2,Ecuador Serie A,3
Alejandro Cabeza,0.2,0.13,55.56,1.4,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.07,0.07,0.07,15.87,76.05,5.07,60.0,0.0,0.07,0.0,0.0,0.73,0.2,0.07,0.0,37.93,33.83,1.0,2.0,15,2,4,Ecuador Serie A,3
Arnaldo Zambrano,0.0,0.14,75.0,1.29,0.0,0.0,1.86,0.71,0.0,0.29,0.0,0.57,0.0,0.0,37.43,87.4,11.29,75.0,0.0,0.0,0.0,0.0,0.57,0.14,0.14,0.0,30.0,50.85,1.57,1.14,7,1,3,Ecuador Serie A,3
Paolo Guerrero,0.38,0.15,42.86,1.77,0.0,0.0,0.15,0.0,0.0,0.38,0.0,0.08,0.0,0.0,14.62,80.0,5.85,50.0,0.0,0.0,0.0,0.0,0.15,0.08,0.23,0.0,48.28,36.92,0.38,1.15,13,3,4,Ecuador Serie A,3
Moisés Ramírez,0.0,0.0,100.0,0.0,0.0,0.0,0.04,0.0,0.04,0.61,0.0,0.04,0.0,0.0,30.91,84.67,0.65,48.65,1.78,0.43,0.22,0.0,0.78,0.04,0.17,0.0,100.0,83.33,0.22,0.04,23,1,1,Ecuador Serie A,3
